# of Actual Tweets,Twitter Links,id,split,Tweet Status,Original Taglish Tweet,Preprocessed Taglish Tweet,English Translation,Comments
,https://twitter.com/i/web/status/1463165020725026830,1.4631650207250268e+18,"(0.2, 0.7, 0.05)",1,"di kasama sa lahat ng plans puro sa kanya & 
kay ** pano ako? di ba ako part ng life niya? ",di kasama sa lahat ng plans puro sa kanya kay pano ako? di'ba ako part ng life niya.,I'm not included in all the plans. Its all just for him & ** how about me? Aren't I a part of his life?,
,https://twitter.com/i/web/status/1463164967683866632,1.4631649676838666e+18,"(0.18181818181818182, 0.5454545454545454, 0.2727272727272727)",1,"Imbestigahan natin hehehe. Pero may Medical 
Center ang Ususan di ba?",imbestigahan natin hehehe. pero may medical center ang ususan di'ba.,"Let's investigate hehehe. But Ususan 
has a Medical Center, right?",
,https://twitter.com/i/web/status/1463164889392898070,1.463164889392898e+18,"(0.23076923076923078, 0.46153846153846156, 0.3076923076923077)",1,"Tell me nga na may replay naman yung kelly 
clarkson show di ba??",tell me ang na may replay naman yung kelly clarkson show di'ba.,"Tell me there's a replay of the Kelly 
Clarkson show, right?",
,https://twitter.com/i/web/status/1463164527613288451,1.4631645276132884e+18,"(1.0, 0.0, 0.0)",0,(english),(english),,
,https://twitter.com/i/web/status/1463164500140564482,1.4631645001405645e+18,"(0.05555555555555555, 0.6666666666666666, 0.2222222222222222)",1,"ano ba yaaan ang daldal naman neto di ba to 
nakakahalatang wala kong pake sa mga pinagsasabe niya",ano ba yaaan ang daldal naman neto di'ba to nakakahalatang wala kong pake sa mga pinagsasabe niya.,"What's all this blabbering about, isn't it  obvious that I don't care about what he's saying.",
,https://twitter.com/i/web/status/1463164392158150677,1.4631643921581507e+18,"(0.3783783783783784, 0.3783783783783784, 0.21621621621621623)",0,,,,
,https://twitter.com/i/web/status/1463164322679599108,1.463164322679599e+18,"(0.07692307692307693, 0.6923076923076923, 0.23076923076923078)",1,"BAKIT NAIBA YUNG CONCEPT NI HYUNJIN DI BA 
SIYA NAINFORM NA MAGPAPACUTE DAPAT?? ",bakit naiba yung concept ni hyunjin di'ba siya nainform na magpapacute dapat.,"Why was Hyunjin's concept different? 
Wasn't he informed that he was supposed to be cute?",
,https://twitter.com/i/web/status/1463164110535893001,1.463164110535893e+18,"(0.0, 0.5555555555555556, 0.4444444444444444)",0,,,,
,https://twitter.com/i/web/status/1463164067598716934,1.463164067598717e+18,"(0.9285714285714286, 0.0, 0.07142857142857142)",0,(nde tagalog),,,
,https://twitter.com/i/web/status/1463163995909767175,1.4631639959097672e+18,"(0.2727272727272727, 0.36363636363636365, 0.36363636363636365)",1,"bat 3 agad HAHHAHAHA di ba kayo marunong 
mag count chz",bat 3 agad hahhahaha di'ba kayo marunong mag count chz.,"why is it 3 right away HAHHAHAHA don't 
you know how to count chz",
,https://twitter.com/i/web/status/1463163974703370260,1.4631639747033702e+18,"(0.0, 0.2857142857142857, 0.7142857142857143)",0,(nde tagalog),,,
,https://twitter.com/i/web/status/1463163924111577102,1.463163924111577e+18,"(0.21212121212121213, 0.42424242424242425, 0.30303030303030304)",1,"di ba yung iba parang di masyado nae-enjoy yung
 gala w friends/cousins pag kasama yung mama, samin mas nag-eenjoy sila pag kasama mama q HSKAHAHAHA di raw kasi kj ganorn","di'ba yung iba parang di masyado nae-enjoy yung gala w friendscousins pag kasama yung mama, samin mas nag-eenjoy sila pag kasama mama ako di raw kasi kj ganorn.","Others seem to not enjoy going 
out with friends/cousins as much when mom is with them, but for us they enjoy it more when mom is with us, HSKAHAHA it's because shes not kj",KJ - Killjoy
,https://twitter.com/i/web/status/1463163827692974099,1.463163827692974e+18,"(0.0, 0.6666666666666666, 0.3333333333333333)",1,HAHAHAHAH DI BA ,hahahahah di'ba.,HAHAHAHAH RIGHT?,
,https://twitter.com/i/web/status/1463163798320263172,1.4631637983202632e+18,"(0.8125, 0.0, 0.1875)",0,(nde tagalog),,,
,https://twitter.com/i/web/status/1463163666094862354,1.4631636660948623e+18,"(0.16666666666666666, 0.5, 0.3333333333333333)",1,"POTANGINA DI BA SI MIMIYUUUUHHHH 
YARN?!?!?!  #BNSJejevility2021D2",potangina di'ba si mimiyuuuuhhhh yarn.,IS THAT MIMIYUUUUHHHH?,
,https://twitter.com/i/web/status/1463163392898879489,1.4631633928988795e+18,"(0.9375, 0.0, 0.0625)",0,(nde tagalog),,,
,https://twitter.com/i/web/status/1463163282135650309,1.4631632821356503e+18,"(0.0, 1.0, 0.0)",1,"‘DI BA USO SA INYO ANG MAGPAKALMA?? 
#KoDrea",di'ba uso sa inyo ang magpakalma?? kodrea.,CAN'T YOU GUYS CALM DOWN?,
,https://twitter.com/i/web/status/1463163227152564243,1.4631632271525642e+18,"(0.0, 0.6363636363636364, 0.2727272727272727)",0,,,,
,https://twitter.com/i/web/status/1463162866966614036,1.463162866966614e+18,"(0.2, 0.8, 0.0)",1,"di ba unang kita ko, long flight agad naisip ko","di'ba unang kita ko, long flight agad naisip ko.","When I first saw it, I immediately thought ""Long flight!""",
,https://twitter.com/i/web/status/1463162865322536960,1.4631628653225367e+18,"(0.0, 0.625, 0.375)",0,,,,
,https://twitter.com/i/web/status/1463162628931559434,1.4631626289315594e+18,"(0.07142857142857142, 0.42857142857142855, 0.35714285714285715)",1,"DI BA ISHWJSJSBS DI NAMAN AQ AWARE NA DI
 PA TAPOS PAHALLOWERN NI SM",di'ba ishwjsjsbs di naman aq aware na di pa tapos pahallowern ni sm.,RIGHT? I WASN'T AWARE THAT SMs HALLOWEEN EVENT ISN'T DONE YET?,
,https://twitter.com/i/web/status/1463162487302414337,1.4631624873024143e+18,"(0.2, 0.3, 0.5)",1,"bat stage 3 agad may di ba aq napanood.. 
HAHAHAHA",bat stage 3 agad may di'ba aq napanood.. hahahaha.,Why is it stage 3 so suddenly? I haven’t watched some parts yet HAHAHAHA,
,https://twitter.com/i/web/status/1463162449293627406,1.4631624492936274e+18,"(0.3333333333333333, 0.5, 0.16666666666666666)",1,"Di ba interlude yun ng resonance??? #NCT 
#NCT_Universe @NCTsmtown",di'ba interlude yun ng resonance? nct nct_universe.,Isn't that an interlude of resonance?,
,https://twitter.com/i/web/status/1463162406234902541,1.4631624062349025e+18,"(0.0, 0.875, 0.125)",1,DI BA BEH PARANG NAWALA YUNG ANTOK KO,di'ba beh parang nawala yung antok ko.,RIGHT BEH ITS LIKE IVE LOST MY SLEEP,
,https://twitter.com/i/web/status/1463162394398670851,1.4631623943986708e+18,"(0.0, 0.75, 0.25)",1,di ba ko matutulog??,di'ba ko matutulog.,Will I sleep?,
,https://twitter.com/i/web/status/1463162339683975184,1.4631623396839752e+18,"(0.0, 0.8333333333333334, 0.16666666666666666)",0,,,,
,https://twitter.com/i/web/status/1463162044455268364,1.4631620444552684e+18,"(0.15384615384615385, 0.6923076923076923, 0.15384615384615385)",0,,,,
,https://twitter.com/i/web/status/1463161748249264140,1.463161748249264e+18,"(0.0, 0.75, 0.25)",0,,,,
,https://twitter.com/i/web/status/1463161714095149080,1.463161714095149e+18,"(0.13333333333333333, 0.6666666666666666, 0.2)",1,"di ba mag popost si heeseung jan pagod na 
pagod na ko sa works :DDDDDDDDDD",di'ba mag popost si heeseung jan pagod na pagod na ko sa works.,"isn't heeseung going to post, I'm tired 
of working",
,https://twitter.com/i/web/status/1463161639096795146,1.4631616390967951e+18,"(0.16666666666666666, 0.5, 0.3333333333333333)",1,"Raffle pala to! Haha randomizer, di ba nakalimutan ko pa sabihin Lolol","raffle pala to! haha randomizer, di'ba nakalimutan ko pa sabihin lolol.","This is a raffle! Haha randomizer, 
didn't I forget to mention it lol",
,https://twitter.com/i/web/status/1463161570138202129,1.463161570138202e+18,"(0.6428571428571429, 0.23809523809523808, 0.09523809523809523)",0,,,,
,https://twitter.com/i/web/status/1463161535304544259,1.4631615353045443e+18,"(0.30434782608695654, 0.5652173913043478, 0.13043478260869565)",0,,,,
,https://twitter.com/i/web/status/1463161188787830786,1.4631611887878308e+18,"(0.25, 0.5208333333333334, 0.1875)",0,,,,
,https://twitter.com/i/web/status/1463161043329372169,1.463161043329372e+18,"(0.0, 0.6923076923076923, 0.3076923076923077)",0,,,,
,https://twitter.com/i/web/status/1463160841113681929,1.463160841113682e+18,"(0.375, 0.4375, 0.1875)",1,"porke naka gaming chair eh streamer na di ba 
pedeng pampabilis lang to ng computer hahahahaha",porke naka gaming chair eh streamer na di'ba pedeng pampabilis lang to ng computer hahahahaha.,"Just because you own a gaming chair doesn't mean you're a streamer, maybe it can be considered as a PC upgrade hahahahaha",
,https://twitter.com/i/web/status/1463160827448602639,1.4631608274486026e+18,"(0.0, 0.8, 0.2)",1,'di ba crinushback na kita,di'ba na kita.,I also have a crush on you,
,https://twitter.com/i/web/status/1463160771186151446,1.4631607711861514e+18,"(0.125, 0.625, 0.25)",0,,,,
,https://twitter.com/i/web/status/1463160727519252488,1.4631607275192525e+18,"(0.08695652173913043, 0.6956521739130435, 0.21739130434782608)",1,"Ang galing nyo po atee! And ang ganda po ng 
mga songs nyoo! Kayo din po yung sa THNKS sa spotify di ba?",ang galing nyo po atee! and ang ganda po ng mga songs nyoo! kayo din po yung sa thnks sa spotify di'ba.,"You're so good, sister! And your songs
 are so good! You're the ones on THNKS on Spotify, right?",Should we add sister or You're do good lang
,https://twitter.com/i/web/status/1463160524129116163,1.463160524129116e+18,"(0.2, 0.4, 0.4)",1,naol may soulmate di ba?,naol may soulmate di'ba.,I wish I could also have a soulmate,
,https://twitter.com/i/web/status/1463160482534244373,1.4631604825342444e+18,"(0.1111111111111111, 0.6666666666666666, 0.2222222222222222)",0,,,,
,https://twitter.com/i/web/status/1463160233010905099,1.463160233010905e+18,"(0.12, 0.56, 0.32)",0,,,,
,https://twitter.com/i/web/status/1463159934980444167,1.463159934980444e+18,"(0.16666666666666666, 0.6666666666666666, 0.16666666666666666)",0,,,,
,https://twitter.com/i/web/status/1463159775156391940,1.463159775156392e+18,"(0.125, 0.75, 0.125)",1,di ba mcdo yung first na may ganito?,di'ba mcdo yung first na may ganito.,"Isn't Mcdo the first to have something 
like this?",
,https://twitter.com/i/web/status/1463159614845997058,1.463159614845997e+18,"(0.10638297872340426, 0.5957446808510638, 0.2765957446808511)",1,"Now kahit gustong gusto ko lang humiga at 
matulog hindi ko magawa kasi kelangan ko pa pataehin itong aso tas papakainin ko pa siya. Putangina lang di ba? Di porket ako usually nag-aalaga sa aso na to ibig sabihin non wala na kayong responsibilidad. Tangina naman.",now kahit gustong gusto ko lang humiga at matulog hindi ko magawa kasi kelangan ko pa pataehin itong aso tas papakainin ko pa siya. putangina lang di'ba? di porket ako usually nag-aalaga sa aso na to ibig sabihin non wala na kayong responsibilidad. tangina naman.,"Even though I really want to lie down 
and sleep, I can't because I still need to let this dog do their business and then feed him. Just because I usually take care of this dog doesn't mean you have no responsibility.","Curse: Putangina, Tangina"
,https://twitter.com/i/web/status/1463159605647839251,1.4631596056478392e+18,"(0.1, 0.6, 0.2)",1,call a friend puta HAHHAHAHAHA,call a friend puta hahhahahaha.,call a friend bitch HAHHAHAHAHA,
,https://twitter.com/i/web/status/1463159372540952586,1.4631593725409523e+18,"(0.2857142857142857, 0.5714285714285714, 0.14285714285714285)",1,"So may teaser na mamaya, di ba?","so may teaser na mamaya, di'ba.","There will be a teaser later, right?",
,https://twitter.com/i/web/status/1463159328173703175,1.4631593281737032e+18,"(0.35294117647058826, 0.17647058823529413, 0.4117647058823529)",0,,,,
,https://twitter.com/i/web/status/1463159191321907218,1.4631591913219072e+18,"(0.0, 0.4, 0.6)",0,,,,
,https://twitter.com/i/web/status/1463158994386792460,1.4631589943867924e+18,"(0.2608695652173913, 0.5217391304347826, 0.21739130434782608)",0,,,,
,https://twitter.com/i/web/status/1463158988158214158,1.463158988158214e+18,"(0.6285714285714286, 0.2, 0.14285714285714285)",1,"Halaaaaa. What happened beb? Hope you're okay
 na, di ko to napansin kanina. You know naman I'm here di ba, same as you being there for me a while ago. Hugs beb. Ily!! ","halaaaaa. what happened beb? hope you're okay na, di ko to napansin kanina. you know naman i'm here di'ba, same as you being there for me a while ago. hugs beb. ily.","Hala. What happened beb? Hope 
you're okay, I wasn't aware of this. You know I'm here right, same as you being there for me a while ago. Hugs beb. Ily!!",Beb: variation of babe
,https://twitter.com/i/web/status/1463158951692931088,1.463158951692931e+18,"(0.8478260869565217, 0.06521739130434782, 0.08695652173913043)",0,(basically english),,,
,https://twitter.com/i/web/status/1463158910995554312,1.4631589109955543e+18,"(0.08333333333333333, 0.6666666666666666, 0.25)",1,"ako na naman matt! Pero kung si alex naman sure why not
 HAHAHHAHAHA",ako na naman matt! pero kung si alex naman sure why not hahahhahaha.,"it's me again Matt! But if it's Alex sure 
why not HAHAHHAHAHA",
,https://twitter.com/i/web/status/1463158834021777423,1.4631588340217774e+18,"(0.1, 0.7, 0.2)",1,"Oh di ba? Anong connect ng pagdadrive sa 
pagkunot ng noo? Napaismid na lang si Josh at tumingin sa labas ng bintana. Napansin niyang hindi pamilyar ang daan na tinatahak nila. ""Hindi mo ba talaga sasabihin kung saan ang punta natin? Baka itanan mo na ako ah, hindi ako ready.""","oh di'ba? anong connect ng pagdadrive sa pagkunot ng noo? napaismid na lang si josh at tumingin sa labas ng bintana. napansin niyang hindi pamilyar ang daan na tinatahak nila. hindi mo ba talaga sasabihin kung saan ang punta natin? baka itanan mo na ako ah, hindi ako ready.","Oh, right? What does driving have to do 
with frowning?"" Josh just sneered and looked out the window. He noticed that the road they were taking was unfamiliar. """"Aren't you really going to tell me where we're going? Maybe you should just leave me alone, I'm not ready.",
,https://twitter.com/i/web/status/1463158629922754569,1.4631586299227543e+18,"(0.08333333333333333, 0.6666666666666666, 0.25)",0,,,,
,https://twitter.com/i/web/status/1463158546443472901,1.463158546443473e+18,"(0.35294117647058826, 0.5, 0.14705882352941177)",1,"Di ba pwedeng nagjojoke lang ako alam ko pa rin 
naman limitations ko as a fan e. As long as na hindi ko naman siguro iniinvade yung privacy ni hyuck it's fine diba??",di'ba pwedeng nagjojoke lang ako alam ko pa rin naman limitations ko as a fan e. as long as na hindi ko naman siguro iniinvade yung privacy ni hyuck it's fine diba.,"Can't you tell I'm just joking? I still know my limitations as a fan. As long as I'm not invading Hyuck's privacy, it's fine, right?",
,https://twitter.com/i/web/status/1463158453883572241,1.4631584538835722e+18,"(0.0, 0.5714285714285714, 0.42857142857142855)",1,Di ba pwede ikaw nalang jowain? Hehe #AskZT,di'ba pwede ikaw nalang jowain? hehe askzt.,Can you be my partner? Hehe,Playful/informal tone
,https://twitter.com/i/web/status/1463158318021681171,1.4631583180216812e+18,"(0.041666666666666664, 0.4166666666666667, 0.5)",1,"Parang si Edward lang tong si Ben. Di ba binoboto
 ni Edward si kisses noon kasi di sya pinapansin o kaya kapag ng seselos. ",parang si edward lang tong si ben. di'ba binoboto ni edward si kisses noon kasi di siya pinapansin o kaya kapag ng seselos.,"Ben is just like Edward. 
Didn't Edward vote for Kisses before because he wasn't being noticed or maybe because he was jealous.",
,https://twitter.com/i/web/status/1463158233753956353,1.4631582337539564e+18,"(0.17647058823529413, 0.6470588235294118, 0.17647058823529413)",1,"Oo, dati pa nga yun di ba, so starlet pa sila nun? 
Hindi kung kailan ka tumanda …","oo, dati pa ang yun di'ba, so starlet pa sila nun? hindi kung kailan ka tumanda.","Yeah, that was a while ago, right,
 so they were still starlets then ?  Not when you get older",
,https://twitter.com/i/web/status/1463158030036606977,1.4631580300366067e+18,"(0.14285714285714285, 0.42857142857142855, 0.42857142857142855)",1,cute di ba haha ito mukhang lumpia ,cute di'ba haha ito mukhang lumpia.,"Isn't it cute haha? This looks like a 
lumpia.",
,https://twitter.com/i/web/status/1463157906677895193,1.4631579066778952e+18,"(0.36363636363636365, 0.45454545454545453, 0.18181818181818182)",1,"di ba wednesday na?? does that mean kahapon pa
 yung pics??",di'ba wednesday na?? does that mean kahapon pa yung pics.,"Isn't it Wednesday already? Does that mean 
the pics were taken yesterday?",
,https://twitter.com/i/web/status/1463157797936324625,1.4631577979363246e+18,"(0.08333333333333333, 0.6666666666666666, 0.25)",1,"Tanginang mga tao to HAHAHAHAHAHAHA DI BA
 KAYO MASAYA SA BUHAY NIYO?????",tanginang mga tao to hahahahahahaha di'ba kayo masaya sa buhay niyo.,Just these people HAHAHAHAHAHAHA AREN'T YOU HAPPY WITH YOUR LIFE?,
,https://twitter.com/i/web/status/1463157697340076032,1.463157697340076e+18,"(0.2727272727272727, 0.5454545454545454, 0.18181818181818182)",1,"Totoo baa huhuhu di ba hindi bagay yung short 
hair sksksksk ",totoo baa huhuhu di'ba hindi bagay yung short hair.,"Is it true huhuhu, does short hair look bad on me? sksksk",sksksk playful expression of being embarassed
,https://twitter.com/i/web/status/1463157634866032650,1.4631576348660326e+18,"(0.34285714285714286, 0.2571428571428571, 0.4)",1,"Asus. Wala man lang kahit stolen? Oh eh di ba 
madami daw kayo, according sa mga BBM tards? Hahahahahah. Don’t waste your time on me. Cocaine user pa din si BBM para sakin. Bye.","asus. wala man lang kahit stolen? oh eh di'ba madami daw kayo, according sa mga bbm tards? hahahahahah. dont waste your time on me. cocaine user pa din si bbm para sakin. bye.","Asus. Nothing is stolen? Oh, aren't there a lot of you, according to the BBM tards? Hahahahahah. Don't waste your time on me. BBM is still a cocaine user to me. Bye.",
,https://twitter.com/i/web/status/1463157618185224194,1.463157618185224e+18,"(0.23076923076923078, 0.5384615384615384, 0.23076923076923078)",1,"pain pighati lumbay hinagpis kirot sakit pagtangis iyak
lungkot dalamhati ",pain pighati lumbay hinagpis kirot sakit pagtangis iyak lungkot dalamhati.,,
,https://twitter.com/i/web/status/1463157458227142659,1.4631574582271427e+18,"(0.06521739130434782, 0.6739130434782609, 0.2608695652173913)",0,,,,
,https://twitter.com/i/web/status/1463157319047553035,1.463157319047553e+18,"(0.08333333333333333, 0.5, 0.3333333333333333)",0,,,,
,https://twitter.com/i/web/status/1463156997185015812,1.4631569971850158e+18,"(0.13157894736842105, 0.5526315789473685, 0.2631578947368421)",0,,,,
,https://twitter.com/i/web/status/1463156924036300811,1.4631569240363008e+18,"(0.0, 0.8, 0.2)",1,Maganda ka ate di ba,maganda ka ate di'ba.,"sister you're beautiful, right?",
,https://twitter.com/i/web/status/1463156786354081801,1.4631567863540818e+18,"(0.07142857142857142, 0.5, 0.42857142857142855)",0,,,,
,https://twitter.com/i/web/status/1463156777206247425,1.4631567772062474e+18,"(0.2222222222222222, 0.6666666666666666, 0.1111111111111111)",1,"idc, bahala ka. U change naman na di ba?","idc, bahala ka. ikaw change naman na di'ba.","idc, it's up to you. You changed, right?",
,https://twitter.com/i/web/status/1463156103315955723,1.4631561033159557e+18,"(0.16666666666666666, 0.6666666666666666, 0.16666666666666666)",1,Sino kaya un Di ba drawing,sino kaya un di'ba drawing.,"
Who is that? Isn't that a drawing?",
,https://twitter.com/i/web/status/1463155828018622469,1.4631558280186225e+18,"(0.1, 0.6, 0.3)",1,"Di ba nakaka-stress!!! Pero tinapos ko pa rin 
hahahah",di'ba nakaka-stress! pero tinapos ko pa rin hahahah.,"Isn't it stressful!!! But I still finished it 
hahahah",
,https://twitter.com/i/web/status/1463155667104055318,1.4631556671040553e+18,"(0.2, 0.5, 0.3)",1,"nakakainis kase eh di ba pwede na privacy nalang 
un?",nakakainis kase eh di'ba pwede na privacy nalang un.,"
It's annoying, can't it just be for privacy?",
,https://twitter.com/i/web/status/1463155552716877824,1.4631555527168778e+18,"(0.0, 0.375, 0.625)",1,Ay di ba kayo youngk stan bat nagsswerve????,ay di'ba kayo youngk stan bat nagsswerve.,"Oh, aren't you youngk stans? why are you swerving?",
,https://twitter.com/i/web/status/1463155516323110928,1.463155516323111e+18,"(0.25, 0.5, 0.25)",0,,,,
,https://twitter.com/i/web/status/1463155441244901376,1.463155441244901e+18,"(0.8157894736842105, 0.05263157894736842, 0.13157894736842105)",0,,,,
,https://twitter.com/i/web/status/1463154675033808905,1.463154675033809e+18,"(0.3, 0.5, 0.2)",0,,,,
,https://twitter.com/i/web/status/1463154118034399238,1.4631541180343992e+18,"(0.12, 0.68, 0.16)",1,"Yun nga, if hindi ganyan yung format ng SLMC, at
 kanila yung mga pumirma, di ba dapat may advisory na ang @StLukesMed
 kung ano ba talaga.","yun ang, if hindi ganyan yung format ng slmc, at kanila yung mga pumirma, di'ba dapat may advisory na ang kung ano ba talaga.",,
,https://twitter.com/i/web/status/1463154076636614669,1.4631540766366147e+18,"(0.6363636363636364, 0.2727272727272727, 0.09090909090909091)",0,,,,
,https://twitter.com/i/web/status/1463154064900993029,1.463154064900993e+18,"(0.5, 0.25, 0.25)",1,"haha ikaw pala si RUTH, you recently had your 
Birthday di ba?? hahaha how was it??","haha ikaw pala si ruth, you recently had your birthday di'ba?? hahaha how was it.","haha so you're ruth, you recently had your 
Birthday right?? hahaha how was it?",
,https://twitter.com/i/web/status/1463154057556680705,1.4631540575566807e+18,"(0.2857142857142857, 0.5714285714285714, 0.14285714285714285)",1,ay di ba part ng choices yun?,ay di'ba part ng choices yun.,Isn't that part of the choices?,
,https://twitter.com/i/web/status/1463153966594736128,1.463153966594736e+18,"(0.2857142857142857, 0.35714285714285715, 0.35714285714285715)",0,,,,
,https://twitter.com/i/web/status/1463153781219201027,1.463153781219201e+18,"(0.5660377358490566, 0.32075471698113206, 0.11320754716981132)",0,,,,
,https://twitter.com/i/web/status/1463153654228295688,1.4631536542282957e+18,"(0.0, 0.6666666666666666, 0.3333333333333333)",1,Naimagine ko tuloy si miyuki as heesung kabziw,naimagine ko tuloy si miyuki as heesung kabziw.,,
,https://twitter.com/i/web/status/1463153646858903554,1.4631536468589036e+18,"(0.2564102564102564, 0.5128205128205128, 0.23076923076923078)",1,"""Why do you freaking care...kung buntis talaga ko?"" ""I have the right to know!"" ""Anong pakialam mo? 'Di ba kayo na ni Erica? Gavin...sa dinami-dami ba naman ng babae, bakit siya pa? Bakit si Erika pa?"" #THATHSecretIsOut","why do you freaking care.kung buntis talaga ko? i have the right to know! anong pakialam mo? 'di'ba kayo na ni erica? gavin.sa dinami-dami ba naman ng babae, bakit siya pa? bakit si erika pa? thathsecretisout.",,
,https://twitter.com/i/web/status/1463153540390703107,1.463153540390703e+18,"(0.0, 0.75, 0.25)",0,(kpop page post amp),,,
,https://twitter.com/i/web/status/1463153442185039878,1.46315344218504e+18,"(0.1, 0.8, 0.1)",1,Di ba may paparinig lang naman ako na kanta eh ,di'ba may paparinig lang naman ako na kanta eh.,,
,https://twitter.com/i/web/status/1463152794811125771,1.4631527948111255e+18,"(0.0, 0.625, 0.375)",1,"hinahanda kayo para mas maging masaya at mas
 matibay ang pagsasama niyo kung magiging kayo man sa huli pero siguro naman di ba sila?",hinahanda kayo para mas maging masaya at mas matibay ang pagsasama niyo kung magiging kayo man sa huli pero siguro naman di'ba sila.,"You are being prepared to have a happier and stronger marriage if you end up together, but they're sure with each other right?",
,https://twitter.com/i/web/status/1463152474370580484,1.4631524743705805e+18,"(0.29411764705882354, 0.5294117647058824, 0.17647058823529413)",0,,,,
,https://twitter.com/i/web/status/1463152345030795274,1.4631523450307953e+18,"(0.0, 0.6, 0.4)",1,de gagu di ba nya naintindihan yung sinabi ni javi?,de gagu di'ba nya naintindihan yung sinabi ni javi.,,
,https://twitter.com/i/web/status/1463152226726252563,1.4631522267262523e+18,"(0.25, 0.5, 0.25)",0,,,,
,https://twitter.com/i/web/status/1463152134057304065,1.463152134057304e+18,"(0.2727272727272727, 0.45454545454545453, 0.18181818181818182)",0,,,,
,https://twitter.com/i/web/status/1463152105489899527,1.4631521054898995e+18,"(0.0, 0.5, 0.5)",1,hello lf bns/dm bestie pleek </3 loner ak d2 I need frens,hello lf bnsdm bestie pleek 3 loner ak d2 i need frens.,,
,https://twitter.com/i/web/status/1463152072002576393,1.4631520720025764e+18,"(0.11538461538461539, 0.2692307692307692, 0.6153846153846154)",0,,,,
,https://twitter.com/i/web/status/1463151901000617987,1.463151901000618e+18,"(0.2702702702702703, 0.6216216216216216, 0.10810810810810811)",1,"Maraming sizes ang mga film. Tapos, during sa 
shoot, ang kinukuha ng kamera mga still photos na nakakabit sa reel. Kumikilos siya kasi umiikot yung reel habang may ilaw sa likod. Kaya nga moving pictures di ba?","maraming sizes ang mga film. tapos, during sa shoot, ang kinukuha ng kamera mga still photos na nakakabit sa reel. kumikilos siya kasi umiikot yung reel habang may ilaw sa likod. kaya ang moving pictures di'ba.","Films come in many sizes. Then, during the shoot, the camera takes still photos that are attached to the reel. It moves because the reel rotates while there is a light behind it. That's why they are moving pictures, right?",
,https://twitter.com/i/web/status/1463151845317173248,1.4631518453171732e+18,"(0.09090909090909091, 0.6363636363636364, 0.2727272727272727)",0,,,,
,https://twitter.com/i/web/status/1463151766166388743,1.4631517661663887e+18,"(0.6, 0.4, 0.0)",1,I thought I was the only one na uncomfy with that :((,i thought i was the only one na uncomfy with that.,,
,https://twitter.com/i/web/status/1463151656699367430,1.4631516566993674e+18,"(0.18518518518518517, 0.5555555555555556, 0.2222222222222222)",1,"Di ba siya pwedeng kumawala sa lt lalo na at di 
naman na nakakabuti sa kanya at sa career niya. Kasi aminin niyo man o sa hindi, si Chin yung laging sumasalo ng issues niya dahil sa lt. Wala namang nagsasabi na di na sila pwedeng maging friends but for now let them breathe.","di'ba siya pwedeng kumawala sa lt lalo na at di naman na nakakabuti sa kanya at sa career niya. kasi aminin niyo man o sa hindi, si chin yung laging sumasalo ng issues niya dahil sa lt. wala namang nagsasabi na di na sila pwedeng maging friends but for now let them breathe.",,
,https://twitter.com/i/web/status/1463151583542198272,1.4631515835421983e+18,"(0.4, 0.5333333333333333, 0.06666666666666667)",0,,,,
,https://twitter.com/i/web/status/1463151470191149059,1.463151470191149e+18,"(0.1111111111111111, 0.4444444444444444, 0.4444444444444444)",1,"ginusto mo yan hazel mae di ba, shutacca kasi","ginusto mo yan hazel mae di'ba, shutacca kasi.",,
,https://twitter.com/i/web/status/1463151249839177731,1.4631512498391777e+18,"(0.0, 0.6923076923076923, 0.23076923076923078)",1,"Ano naman saiyo kung buntis ako di ba may Erica 
ka na -Dom #THATHSecretIsOut @KapusoBrigade
 
@encabattalionkb",ano naman saiyo kung buntis ako di'ba may erica ka na -dom thathsecretisout.,,
,https://twitter.com/i/web/status/1463151181363126282,1.4631511813631263e+18,"(0.16666666666666666, 0.8333333333333334, 0.0)",1,same lang naman sila 'di ba..,same lang naman sila 'di'ba.,"
They're just the same, aren't they..",
,https://twitter.com/i/web/status/1463150926886100992,1.4631509268861007e+18,"(0.0, 1.0, 0.0)",1,"di ba @SMTOWNGLOBAL
  
@NCTsmtown",di'ba.,,
,https://twitter.com/i/web/status/1463150919378296836,1.4631509193782968e+18,"(0.2222222222222222, 0.6666666666666666, 0.05555555555555555)",1,"di q alam bakit kapag mommy daddy lang tawag
 sa parents mayaman kaagad di ba pwedeng maarte lang ",di ako alam bakit kapag mommy daddy lang tawag sa parents mayaman kaagad di'ba pwedeng maarte lang.,"I don't know why if you just call mommy and daddy, parents are already rich, can't you just be dramatic?",
,https://twitter.com/i/web/status/1463150789799686149,1.463150789799686e+18,"(0.5714285714285714, 0.2857142857142857, 0.14285714285714285)",0,,,,
,https://twitter.com/i/web/status/1463150591199354881,1.463150591199355e+18,"(0.0, 0.5, 0.5)",1,"Syempre may pa beso, nakangiti ka Louie kasi 
masaya ka di ba? ALDENxTWBU NewDay#TWBUSurfaceTension
 #AldenRichards
@aldenrichards02","syempre may pa beso, nakangiti ka louie kasi masaya ka di'ba? aldenxtwbu newday aldenrichards.",,
