id,translated_text
573,"1463146986664697856,""Even endorsements for starlets were taken? Are you that broke?"""
574,"1463158233753956353,""yes, that was a long time ago, right, so they were still starlets then? not when you get older."""
575,"1463325118386499585,""When you're old, you can't wear a two-piece or pose sexy? Is it selective?"""
576,"1463151656699367430,""can't he break away from the lt especially if it's not good for him and his career anymore. because whether you admit it or not, chin is always the one who takes the fall for his issues because of the lt. no one is saying they can't be friends anymore but for now let them breathe."""
577,"1463151708247248902,""but doki, whose employees are the ones who signed?"""
578,"1463154118034399238,""that's right, if that's not the format of slmc, and it's their people who signed, shouldn't @StLukesMed have an advisory on what's really going on?"""
579,"1463164948557795338,""I just found out that there's a 1 hour limit on IG live wtf???"""
580,"1463165424913293315,""Same.. don't Kibum and Taem's IG lives reach 1 hour?? hahahahaha"""
581,"1463165622259437575,yes hahahaha. what happened to jinki?"
582,"1463166020642914314,""They say Jinki didn't get premium, ahahaha, just kidding, I don't know either."""
583,"1463163282135650309,""ISN'T IT A THING FOR YOU TO CALM DOWN?? kodrea."""
584,"1463144571819360257,I choose my crush."
585,"1463154057556680705,""isn't that part of the choices?"""
586,"1463150223329529873,""i just watched the episode of ma, where is it? by stell. hahahahahahhaa.. admit it, your moms aren't that calm when you always call them like that and you're looking for something. the line of moms in that situation: if you don't find that,"""
587,"1463150225439158277,""you'll see! with matching wide eyes and even a spank. right? just saying. skl. sb19."""
588,"1463157697340076032,""is it true huhuhu doesn't short hair suit her sksksksk"""
589,"1463155667104055318,""it's so annoying, can't it just be a private matter?"""
590,"1463165334698004483,""pesen di'ba your subscription i'll pay later, quick."""
591,"1463165422715523074,""or if you want to buy directly on spoti, it's up to you."""
592,"1463145724527333380,""beautiful, i think i'll just go with that design for the rug."""
593,"1463155552716877824,""ay aren't you a youngk stan why are you swerving?"""
594,"1463156232559210505,""fuck are you okay with shaping youngk as the design on the ruggggg."""
595,"1463084189293498369,""i dont know, why my heart is heavy. unlike the first and second concerts, i was excited for me and myself only. now, i feel sad for my apotins who can't watch the zonecon."""
596,"1463183242857631745,""enjoy the concert granny you deserve to enjoy, aren't we a family, cliche as it may be granny but if you're happy on that day granny we'll be happy too, i love you granny."""
597,"1463150118425677826,""hala what kind of comment is this? did you read anything i said about them being paid? isn't there a question mark at the end? did i say anything bad about the motorists? they are also filipinos, our countrymen. who are vulnerable to being deceived by opportunistic people."""
598,"1463165424577753107,""isn't chenle the one in the vest?"""
599,"1462449604012621828,""have you noticed? why is it that when it's a bbm caravan, there are rarely for-wheeler vehicles, but more motorcycles/bikes. why is it that when it's vp leni, there are many for-wheelers?"""
600,"1463148903881003008,""how can you say that? is there a conclusion? aren't you asking?"""
601,"1463154064900993029,""haha so you're ruth, you recently had your birthday right?? hahaha how was it?"""
602,"1463150582009454594,""thathsecretisout. what do you care if i'm pregnant, didn't you want to annul our marriage, don't you know how much you hurt me dom."""
603,"1462295734653386752,""the is a job. perhaps the most difficult job there is in the country. need to be seen as applicants. they are applicants and we are the hr of the country. each of us has the right to know and ask them who are applying."""
604,"1462295736318521351,""here there is no ojt (but there is the first 100 days). we have more than 5 months to get to know and scrutinize each one. we don't need to argue. we need to learn how to choose. they are the ones who need to show/demonstrate why they are our next president."""
605,"1463150014264270854,""bio-data or curriculum vitae like applicants, we should carefully study the capabilities of each. what did they finish? what was their job? what have they done as a public service?"""
606,"1463150015862484998,""isn't it that in many job hirings, they even have to make their cvs look good. let's expect the same from those who aspire to be (and other positions) it's our job to scrutinize this. who is decent/sensible? who is pretending? this is where their capabilities will be seen."""
607,"1463302315058741251,""physical exam drug testing many applicants are asked for a medical report with lab tests blood testsurinalysis and chest xray. let's also include drug testing. that's how we should scrutinize. we need someone sensible and strong. pilipinas2022."""
608,"1463327666430304256,""character reference we also listen to what our colleagues, acquaintances, or teachers say about the applicants. this is where we see how they treat people, their work attitude, and their ability to identify its challenges. these are things we should find out."""
609,"1463151470191149059,""you wanted this hazel mae, right, shutacca because."""
610,"1463147694768099329,""Fax no lays right?"""
611,"1463111232630628355,""i watched their butter performance at the amas again and my ult is jungkook but on stage the rapline's pull is really strong it's crazy."""
612,"1463147421333024771,""ISN'T IT, SIS? WE'VE SLIGHTLY VEERED OFF COURSE AGAIN HAHAHAHA"""
613,"1463147133087801350,""fuck you, won't you read what you're writing if you don't put a member as a third wheel or a mistress?"""
614,"1463157797936324625,""you fucking people hahahahahahaha aren't you happy with your lives?"""
615,"1463165020725026830,""not included in all the plans, all about him and what about me? am i not part of his life?"""
616,"1463144394630914049,""oh right it's not a happy endgame."""
617,"1463143905893892104,""it's not that i'm scaring ate nami's readers, what if sephy's mom doesn't like her and they break up and it's not a happy endgame oh right we'll cry again because that's ate nami's bonding."""
618,"1463146115872612355,""can't you be the one to lighten my mood? not be another reason why my heart is heavy?"""
619,"1463146118783520768,damn it's so hard haha."
620,"1463140933802000389,""guys need help. how do you take care of your albums when in display? need some tips please."""
621,"1463145860590497798,""i don't put plastic or anything on it but they're stacked per era or depending on my mood."""
622,"1463148122566455302,""wahahaha relatable it really depends on the mood pano un isn't it getting dusty without a cover?"""
623,"1463174522761326602,""at least, there's still someone to win over. right? hahahahaha"""
624,"1463135791710760966,""I'll join in because I also have St. Luke's medical results but why is mine more sosyal? Mwahahaha chour"""
625,"1463136157303066627,""hahahahah. mine too has a header and the colors are so vibrant. i just saw your tweet."""
626,"1463146380214476807,""Right? If I were him, I'd complain why my results don't have a header, hahaha, eme. Yey, hi!"""
627,"1463149851563094018,""so women are women are both pawns and trophies to prove some men's masculinity? if it's not. viralscandal viralscandalconfessions."""
628,"1462795383424229382,""the compliments for aiki of swf are so backhanded. she's so even though she have a daughter. like."""
629,"1462923962275418117,i thought i was the only one na uncomfy with that:((."
630,"1463151766166388743,""it's so unnecessary, right?"""
631,"1463147441922842627,""Isn't it turon? HAHAHAH"""
632,"1463136815280316423,""i went to istudio earlier because i was supposed to buy earpods because my old one is about to break, they said they're out of stock. then i went to rustans because i wanted to buy tartine et chocolat perfume, also out of stock. so it's a good thing, right? i didn't have to spend."""
633,"1461503484285513730,""the manila bulletin survey (nov. 19-21, 2021) from nov. 19 to nov. 21, 11:59 pm, to get the pulse of the nation at a particular moment in time, we are asking our readers to share with us which candidate they will vote for as president if the elections were held now."""
634,"1461638230491553792,""I'll just go with Leni's porridge. It's delicious and comes with love."""
635,"1462214241088196609,""who sold the philippines to china? i'm sure it wasn't vp leni. leni is porridge, what about bbm? cocaine?"""
636,"1462586710240358402,""you forgot these, spaced out; idiot; inspiration is druglord; brother is druglord; budget goes straight to personal account which is forbidden; corrupt; ignorant; goal: just to destroy marcos family; a member of liberal party, the corrupt idiots; leni is cory 2.0; scammer"""
637,"1462738502483775496,""idiot? he's a lawyer? bbm is a dropout and a liar. he also explained why the donation for her candidacy went to his personal account and it was all accounted for and reported accordingly. what i know is forbidden is the ill-gotten wealth of the marcoses, killing, tax evasion."""
638,"1463148364552306692,""yes po. that's why imelda was convicted, right? don't just watch tiktok.:)."""
639,"1463123452106199048,""if i die while on-duty service, will they know here? just a random thought."""
640,"1463137984455213065,""Ask your sibling or cousin, babe, is it like fb, babe?"""
641,"1463138347606437892,""oh i don't need that when i'm dead babe. i'm already dead and still clout chasing? hahahaha. if i don't show up without saying goodbye, i'm probably dead by then."""
642,"1463139954725244928,""wait a minute, i laughed at the dead but still clout chasing hahahahahah. can't you just get your account banned, babe? but always be careful at work, papz."""
643,"1463141256645603330,""i won't get banned here babe, i'm too nice for that hahahahha unless you point me to someone i can fight. 😊 always be careful but when it's a sworn duty, i'm ready for the worst case scenario 😌."""
644,"1463143693267836929,""yes babe it seems like your workiez are only for the brave if it were me i would have fainted from fear first."""
645,"1463142588190396420,""we've been moots before this icon, right?"""
646,"1463142622407507968,""i swear i'll never leave again - keshi i dedicate this song to myself because who am i to be dedicated a song, right? huhuhuhuhuhu."""
647,"1463096984668049411,""bet bongbong marcos claims he tested negative in a cocaine test after president duterte claimed a bet is using cocaine. but unlike other bets, marcos didnt test with ph drug agency, stoking his test was fake. newsinfo.inquirer.net151882."""
648,"1463101567507132416,critics have pointed out that the report released to the media was not in the top hospitals letterhead and that the hospitals address was wrong."
649,"1463148425956839424,""Wait! When was Ususan moved to BGC?"""
650,"1463158551845687317,I wonder if Mocha has anything to do with it?"
651,"1463164967683866632,""Let's investigate hehehe. But Ususan has a Medical Center, right?"""
652,"1463152345030795274,""de gagu didn't he understand what javi said?"""
653,"1463144134265356292,you're not a grinch. you're a person who's coping with immense loss at the end of a challenging year."
654,"1463144138086371329,""i'm not bitter about the upcoming holidays,,, more on angry and jealous, oh wait aren't they the same hahashshd btw i'm already accepting early xmas gifts because i'm not sure if i'll make it, thanks."""
655,"1463134668682043394,""isn't it bothersome that the students have no motivation anymore? like everything is just for compliance? just a curious question."""
656,"1463144169883389955,""forced yarn brian and jackie?? you two should be together, you devilish couple!! aldenxtwbu newday aldenrichards."""
657,"1463149841580642307,""i really don't get jackie. isn't she lia's best friend. this carlos siblings are really weird aldenxtwbu newday."""
658,"1463150591199354881,""of course there's a beso, you're smiling louie because you're happy, right? aldenxtwbu newday aldenrichards."""
659,"1463158951692931088,""yeah, i don't buy 'i don't have candidate yet' her husband is on the news public affair so how come she haven't made her mind yet right, for me its given, very clear na who should be in the top post."""
660,"1463143341063737352,""FUCK ISN'T THE SG OF SVT A SET?"""
661,"1463162394398670851,""am i not going to sleep?"""
662,"1463151052388134913,""which is a better pob for nct sg? ktown pob or aladin pob?"""
663,"1463151181363126282,""they're the same, right.."""
664,"1463151318873227268,i'm not sure."
665,"1463134063636533249,""oh sis, even in politics, you choose the people's vote? can't you just respect who they vote for? trash."""
666,"1463143424312238087,""damn it, aren't they worried that everything the marcoses release is being suspected because of their lies? hahahahahaha"""
667,"1463143388367175692,""isn't aldub over? maine already has arjo."""
668,"1463134182490599425,""gyu post that ah can't you just go ahead."""
669,"1463148959086510082,""always on videoke, don't you guys get hoarse?"""
670,"1463140649625001986,""you're all about poso, can't it be my kidney for a change jk."""
671,"1463135074124451844,""oh can't it be just all kilig /cries/ jareditoparty."""
672,"1462767541273563140,""how was your life when ferdinand e. marcos was the president of the philippines?"""
673,"1462949873427402752,I have to walk a long way just to buy rice at Kadiwa."
674,"1462986686187638786,""I forgot that KADIWA was the name of the place where my mom would line up for rice during martial law because there was a shortage of rice."""
675,"1463145430183817219,""yes and they want us to thank them! damn it, right?"""
676,"1463124365680123909,""I know that when he doesn't have a girlfriend anymore, he'll chat with me again HAHAHAHSHSH, it's up to you, you had your chance."""
677,"1463133573741834242,you know right hahahahaha."
678,"1463140449774813187,""abusing that 'pin to profile'. it's allowed, right? 🤪"""
679,"1463140131049598978,""what's this fist for, isn't it for protecting your sister? but it didn't do anything viralconfessions."""
680,"1463150327884963843,""i feel like there's a drop later."""
681,"1463150926886100992,""isn't it?"""
682,"1463145240009736195,""am i not used to staying up late hmp"""
683,"1463145513721626625,""impress right away, can't it just be sweet? thathsecretisout kapusobrigade."""
684,"1463138593707560964,""hey guys, it seems like your frustration with your expectations and what you want to happen is too much. didn't the management give you a project without a loveteam?"""
685,"1463140138876235776,""lmao don't they know that there were a lot of kfanscommunities who didn't like the pirate concept of ateez back then.: it's bad to steal."""
686,"1463158988158214158,""oh my gosh. what happened beb? hope you're okay now, i didn't notice this earlier. you know i'm here right, same as you being there for me a while ago. hugs beb. ily!"""
687,"1462985134207279104,""just in: aspirant bongbong marcos says he took a cocaine test yesterday, nov. 22. he says he doesnt feel alluded to when president rodrigo duterte said that a hopeful is a cocaine user. via halalan2022."""
688,"1463114643837050883,""even before president dutertes so-called blind item, marcos jr already took a test at the pnp crime laboratory on november 10. hes negative for shabu and marijuana. (: bbm media bureau) via."""
689,"1463141137477103624,""what's the reason he took a drug test on nov. 10? what's that drug test for? it's not a requirement as a candidate, right?"""
690,"1463148034313785353,""That's what immature and addicted people do, just like your boss. The one who did it will also be caught and then say that their cellphone was borrowed or their account was hacked. Familiar? It's all bbm supporters, right? Blind."""
691,"1463141587882774530,""i just want to watch tiktok but something seems wrong. shouldn't i be studying now?"""
692,"1463150970528047107,don't study anymore."
693,"1463137264171577348,""the fans requested to make alden more mature, yes they made him a bad boy which doesn't suit him, hahaha, and also why is he eating his words. bring back the old timeslot, isn't he alden, he's supposed to be strong, you're even beaten by girls."""
694,"1462977193353482241,""aspirant bongbong marcos, in an interview with anthony taberna, says he took a drug test in a hospital and gave the negative test result to pdea this morning. this comes after president duterte alleged that an unnamed candidate is using cocaine. thefilipinovotes."""
695,"1463138473263599628,""why did you report it..the fenks won't accept it anymore, they'll probably say it's fake. just accept that he's negative on the drug test..no matter what happens if you don't like bbm you won't vote for him anyway, right. just don't vote if you don't like him..that's it."""
696,"1463136769327517697,what if tae is the content of the last sealed stbo mots br ko."
697,"1463137006565744645,what if it's mine po chz."
698,"1463137099608039427,""what if it's not sure."""
699,"1463083067430653953,""mdidically you are protected and the pussies of the whores in hillbrow have nothing on your as now keep my name out of your tl and allow my wet hrny self to continue getting engagements on my tl. thank you!"""
700,"1463142530145529857,""shouldn't we send a doctor to rock?"""
701,"1463139821954551810,""didn't you invite me? hahahahahah."""
702,"1463031872317837312,""he even faked his diploma, what more a drug test result? my god! is he?"""
703,"1463139135326097411,""that's right!! the sister even got a yearbook, right?! those guys are hustlers.. when it comes to them, don't be so sure! i'm sure of that!"""
704,"1463123836140863490,""three types of sevi's instagram stories: (1) as a suitor; (to) as a boyfriend; (3) as a husband to elyse."""
705,"1463125016745168897,""double date of elviarkin when iowfbgo but aw right!! i miss nvrfg but no worries, i feel like they will show up soon on oye."""
706,"1463148428884471809,""i saw your post greeting jonaxx with your photo together sa abs book signing. she said (non-verbatim:) finally you have a face. right? hehe. that's when i found out you're not a girl. haha."""
707,"1463127342356697095,""i'm really curious why you guys thought i was a girl at first. hahahha."""
708,"1463148950949482499,""i remember again that i told you congrats sis! hahahahahahha because isn't it that most of the artists in jsl's are girls hahahahah."""
709,"1463139398250233860,""ohmygosh don't you guys accept a small amount?"""
710,"1463139641956069376,we accept po."
711,"1463139648381718532,""we accept, even a peso is okay."""
712,"1463135990827028488,""you're all fools, you know it's not endgame."""
713,"1463136579673673733,""hey mika, you're beautiful, aren't they endgame....aren't you just joking?"""
714,"1463036919294484487,""vp leni is so beautiful, she's even next to you, you son of a bitch. i'd love to shave your head, andaya. you look like a bitch."""
715,"1463135766125719558,""Isn't Andaya a friend of PNOY?"""
716,"1463136542512218123,""okay so my sticker jewel case album already came and pulled a dotae oh my god but guess what i don't remember at all ordering this album."""
717,"1463137496577888263,""I WANT THAT TAEYONG PC, HEY."""
718,"1463140878080307202,""hey didn't you pull taeyong too?? wait was that a sticker album?"""
719,"1463141012461670401,""it's not from a jewel case hahahaah."""
720,"1463142342278348805,""oh well at least i got it hahah this is my first tyong pc too huhu."""
721,"1462774595358900229,""the kissing in twbu was continued. director c is so high, that's what he wants. it's still not thrilling, a and kunot noo were made into bold stars, they're also so thirsty. oh well, they say it's epic. where's the part? boycottmzetxaptxgma259."""
722,"1463138623617134592,""not good to.the eyes of minors no moral values more kissing plus bedscene what's different nothing right they'll just rest but nothing changed in what the director wants so boycotttwbugma."""
723,"1463149267946672134,""hahaha there's even a cherry mobile prize from bbm for spreading his vlog right so what are you going to do about that he's the number 1 spreader? #notomarcosduterte2022 #notofakenews #notorevisionism #notonarcosjr"""
724,"1463065820398075909,I'm done with that."
725,"1463067144745361411,It hurts, I've learned something."
726,"1463081646886993923,""I'm not the one who hurts people.. I'm the one they hurt."""
727,"1463090703031013376,""i mean in a relationship, but in other situations i've also hurt someone's feelings."""
728,"1463104144571604993,""I'm still going to date, you can go to hell hahaha."""
729,"1463108231925018629,""Wahahaha you're crazy 😂😂😂 I told you earlier to teach me again how to find a worthy partner.."""
730,"1463111844038680583,""that's the problem with what they call choking, is it choking if there's no time, is it choking if you just say that at this hour there's no contact."""
731,"1463115975885299718,""i'm even more instant than instant noodles. when it comes to a partner, i don't make them feel like i'll only talk to them when i want to because no matter how busy i am, i'll really make time for you. i've already learned how to be tough sometimes so that we won't be abused."""
732,"1463119088255918080,""you know we also need to be strong sometimes so that we won't be abused especially when we're too soft, i've experienced that before, and sometimes when we're too kind, we're often abused, so i don't want that to happen again."""
733,"1463121353222070273,""I'm also a bit of a softie, but sometimes you have to be tough, especially when they're doing too much. But I still know how to be humble and forgive."""
734,"1463130146299432973,""yes i can't hold a grudge or resentment, i pray even more for the people who have wronged me.. didn't the lord say that if someone sins against you seven times, you should forgive them seventy times seven, that's what i believe so i can't hold a grudge."""
735,"1463149752158425090,""if you posted that, flex your girlfriend, you bastard."""
736,"1463152794811125771,""you're being prepared to have a happier and stronger relationship if you end up together, but I guess they're not, right?"""
737,"1463132730300919815,Lia's bag has a treasure. She never leaves it. #TWBUSurfaceTension ALDENxTWBU NewDay #AldenRichards"
738,"1463133479583969281,""i noticed it too. hahahaha. he's already home, went inside and came out of the house again, still carrying his bag. aldenxtwbu newday."""
739,"1463133840038318080,""Right? Hahaha! I go straight to the bag rack. I don't carry it everywhere. #TWBUSurfaceTension ALDENxTWBU NewDay #AldenRichards"""
740,"1463136417912025088,""i'll leave it on the first table i pass. hahahaha. aldenxtwbu newday."""
741,"1463121362823036928,""hey mark don't make me fall for you hahahahahah dm me already let's talk like that right?"""
742,"1463134610011811849,""It's hard to forgive, right? #TWBUSurfaceTension"""
743,"1463127355879456770,""since graynoma's weapon next ep is hayi, i just want to know why there's still no world tour on spotify."""
744,"1463134044304990216,for real."
745,"1463149846903332878,i wonder what's the problem."
746,"1463150435250970631,""I'm also wondering because that's the only thing that's missing, right?"""
747,"1463150594378842112,""it wasn't included in the select all when it was uploaded."""
748,"1463143861555908618,""it's okay gagi haha who am i to be dedicated a song, right?"""
749,"1463145249849573380,Life goes on."
750,"1463121089207615488,""sir: you guys came here because you're brave, right? it's normal at first because you're new, you'll be played with but that's part of it. you're speechless sir. i think i made a mistake coming here? laugh out loud hahahaha."""
751,"1463131803225448455,""who are we, right?"""
752,"1463133977313644559,isn't it?? hahahahahha."
753,"1463134757093474310,""oh right, and then she was stupid, she wasn't careful aldenxtwbu newday aldenrichards."""
754,"1463133904228032514,""i heard she's going to conceive already."""
755,"1463142944081252353,""@BLACKPINK What's with you guys going live, isn't it? 🥺"""
756,"1463131495963394061,how did he steal votes?"
757,"1463132410892013572,""He didn't steal votes. He was recounted again. It's also the decision of the court that no stealing happened."""
758,"1463135037562363904,""when it's not what you want, you're immediately a yellowtard? you don't even know how to respect the court's decision? how can the country rise if you supporters don't respect the court's decision?"""
759,"1463135741270126596,""Nothing. You just like to accuse without evidence and you love to make up stories. If your supported candidate wins, I hope you won't be ignored once they're in office. Remember, a thief is always a thief. BOW!"""
760,"1463137882898501645,""I'm not being defensive. You're just offended, right? It's true that his family are thieves, right? What's wrong with that?"""
761,"1463139148735209481,""I commented because I was asking how he stole votes. You can't even show any evidence. It doesn't affect me. Because you're so into fake news. 😂😂😂 even fake diplomas?"""
762,"1463140087328174081,""i've done my part. that's why i'm asking you, how did he steal votes. i also need to hear your side. maybe there's a reliable source of news that he really stole the votes. maybe i'll even campaign for lbm if that's the case."""
763,"1463141494525612037,""Oh my, aren't LBM the thieves? They can't even set foot in the US because they have a case. And you guys really have your own reality, right? You should get checked, that might be something else."""
764,"1463124635609071623,""I guess it's not bad to hope that someone will catch up before Christmas, right? There are still 32 days left. HAHAHAHA"""
765,"1463147887026606080,let's go to."
766,"1463148410215690246,looks like yanna's dad."
767,"1463148911720157184,""damn my dad got involved."""
768,"1463149097821487108,what's your dad's stan twt."
769,"1463149812006617096,""thanvina, isn't that your mistress?"""
770,"1463150384537423876,wrong."
771,"1463124496424964098,""why would you go to pares retiro if you don't have a partner, right? sb19 joshtin."""
772,"1463127866745364485,""who am i to be asked to eat pares, right? sb19 joshtin."""
773,"1463130368270209027,""eh, because he said it's ugly and the other one is more beautiful- then? does that mean we can immediately conclude that it came from there?? can't it be a fake acc that just wants to ruin things?"""
774,"1463147859982061570,""aren't you guys going to change the music in your story?"""
775,"1463132769748348932,""you can ask st. lukes, right?"""
776,"1463169318791823366,i think they don't want the right answer."
777,"1463128951178489871,""bongbong marcos allegedly negative for cocaine; other candidates ready for drug test halalan2022 bit.ly3r1siok."""
778,"1463130215400366083,""enough with your gimmicks. you're diverting from the stolen wealth and tax evasion. many people know that bongbong narcos is a drug addict. he admitted it although he's supposedly rehabilitated, just like the others who were killed, right?"""
779,"1463142859125637127,They say Leni is also negative. In the IQ test."
780,"1462810711143247873,""choose your fighter, the one without or the one with? it's a fight."""
781,"1463158318021681171,""This Ben is just like Edward. Didn't Edward vote for Kisses before because she wasn't paying attention to him or when he was jealous? 😂"""
782,"1463116727777067010,""ahahahaha hala:( you know i know you from your un... not your name:'( buewqifbufgv i'm sorry but that's why the vibes are familiar."""
783,"1463117406755192839,""but not suspended right... ahu hope it can be retrieved :("""
784,"1463130280101699588,WE'RE SUPPOSED TO EXPLAIN IN COURT ESSA."
785,"1463130759347064839,force me."
786,"1463131346222542855,damn."
787,"1463133076477775873,""Why did you curse, Essa?"""
788,"1463133852596015111,""because @sheepgardensarc is worth cursing at."""
789,"1463136191083995140,""didn't you want this, bhie? stand up for it."""
790,"1463146432051875846,""go ahead and flirt, wasn't it painful when it was gone eme hahaha good evening ate nin."""
791,"1463162023525724189,""is it like a long flight for johnny?"""
792,"1463162268229804035,i noticed it too!"
793,"1463162866966614036,""isn't it the first thing i thought of was a long flight?"""
794,"1463138089514434560,""i'm just asking future educators out there, don't you guys run out of names to put in your lesson plan or am i the only one who likes to put names in their lesson plan? hahahaha."""
795,"1463145668365918212,""hahahaha WEi is always present for me 😂"""
796,"1463147980606025732,""They're also present for me, but not all of them because Yohan is a Korean name, and there are many people with that name here. And then there's Dae and Dong, hahaha 😂"""
797,"1463138756090036224,""hahahaha cheer you're a multi stan hahahaha use your lovers' names chaar but i rarely put names hahahaha."""
798,"1463147649088262144,""I'm hesitant to use it because I mostly use Korean names like Yohan, Daniel, and other idols whose English names I know. I like to put names, but I'm running out of names, HAHAHAHA."""
799,"1463135307516108801,""babe, i'm so weak, you know that haha chos."""
800,"1463135386595586054,""oh right we're the same babe hahahaha."""
801,"1463135466543214597,""wahhahaha it's okay! char."""
802,"1462769358997176324,""shhizzz. the time you accidentally opened your gc where you're not active."""
803,"1463135793493712896,""GC, right. GC."""
804,"1463143175283822597,""gagu aren't you going to buy, it's so cheap oh."""
805,"1463108630538952710,you were so beautiful earlier."
806,"1463109094923853824,""let me hug you.. you're so cute.. is it really because of what you've been watching? or am i the reason?"""
807,"1463109561653465088,""you know i don't have a problem with you being sweet. it's even better. because it makes me feel good."""
808,"1463109752427188224,""so you're my gf now? my gf is so cute.. she's so sweet..."""
809,"1463110003871469571,""iloveyou! you're the only one i love okay.. don't be jealous."""
810,"1463110295874793478,""i know you can't help but be jealous.. it's natural. so i'll be the one to adjust for my gf.. right? my love?"""
811,"1463110949833895943,""you've been like that so many times.. you always fight with me. we fight and make up.. i can't stand not talking to you either. you're too cute."""
812,"1463111421646950400,""i also don't understand why i feel so different with you i can't explain it i don't know if i should be annoyed or laugh or what.. oh well it's just different."""
813,"1463112060783370245,""i haven't felt this with anyone else. only with you.. oh maybe i'm just too happy with you.. maybe right?"""
814,"1463112545498058754,""what's important.. i see your real smile. even if that's the only thing i see from you, i'm already happy.. it's so heartwarming to feel that the person you care about is smiling at you. because."""
815,"1463113257971961856,""because.. you will see your importance to them. that's why it's so important that you smile genuinely at the important people in your life. and even if they remember you. that your smile will give inspiration. a reminder of peace of mind. calming.."""
816,"1463113616404615171,""a smile with mischief is different from a smile of revenge.. a smile of kilig is also different from a happy smile. their interpretations are different. it's up to you what your smile means in every situation."""
817,"1463114219511967751,""that's the only way i could think of because people were so sad back then.. no matter what, i was losing hope too but when i remember you and the people who are important to me."""
818,"1463114471182716928,""that's where i get it from. that's my only strength to continue living.. there's no other choice.. iloveyou!"""
819,"1463113703226703882,""who am i to be crushed back, right?"""
820,"1463132611639865345,""HA HOW IS THAT? IT REACHED THE PRESENT LIKE THAT?"""
821,"1463133669581680642,""isn't their situation weird like what?? okay right team dencio is still the one."""
822,"1463124930296688641,"" are you my filo or intl oomf."""
823,"1463133132870217732,""oh my god isn't it obvious ahhahasjjskaj."""
824,"1463131143939637261,""so what, who am i right?"""
825,"1463131137790799875,""why is the blame always on the people? shouldn't we as public health be more angry at the government, corporations and policymakers who allowed the malls to open while the vaccination rate is not that high but the covid deaths are high?"""
826,"1463131143088209926,""It's just easier to always say 'it's up to you, it's so expensive to go to the hospital now, it's your fault why there's a surge!' than to say 'the for-profit healthcare system is really terrible, it's like my patient who has no money has no right to get treatment!'?"""
827,"1463131146678460419,""look, the govt. is reopening the economy out of pressure from big corpos and bureaucrat capitalists, but in this november 2021 is there adequate and reliable nationwide free mass testing? have all ages and demographics in all corners of the country been vaccinated?"""
828,"1463131154190458892,""right, even if you point out that there's vaccine hesitancy in some populations, the main issue is still the lack of vaccine supply and the slow roll-out, right? and the contact tracing isn't really effective, it seems that people's info is even being used for data breaches?"""
829,"1463131158443528195,""instead of spending our energy getting mad at people who don't practice social distancing, who opened the malls in the first place? would there be air-conditioned, highly susceptible to places to go if malls weren't opened in the first place?"""
830,"1463131163111817220,""and it's understandable that people need to work because the paralyzed economy is so difficult, but this should be accompanied by gov't efforts to solve the pandemic. it's simple, who holds the budget and resources? who holds the decision-making?"""
831,"1463131165389246465,""isn't it the government? aren't those bastards in power in the state who are indulging in the billions from, the pharmally scandal and countless other scams and corruption in the midst of so many deaths in this pandemic? don't they have the money? they also opened the mall."""
832,"1463131168715403270,""because they're pressured and they want their businesses to earn while still enjoying kickbacks from the funds that should be used to solve the pandemic. and then it's hard, you're stuck at home, you get nothing. you go out of the house, there's a risk of getting sick. where do you stand?"""
833,"1463131171915632645,""when the malls weren't open yet, according to data, the philippines was at the top of the most compliant with mask-wearing protocols. those who could practice social distancing did, and in the midst of a highly militarized lockdown, they also tried not to go out of the house."""
834,"1463131174507741192,""in the community, even though the houses of the urban poor are almost the size of bathrooms, they still try to be clean even without access to bathrooms and sanitation, and enough space for 'social distancing', with plastic wastes from the city surrounding them."""
835,"1463131177062068230,""tl;dr: I hope we just spend our energy insisting that the state be held accountable for its mistakes in this pandemic, because it has done almost nothing right. It's a waste of energy to shout 'YOU'RE THE REASON FOR THE SURGE, YOU PESTS!' at people in the mall one by one. I used to think that was productive, but it's not."""
836,"1463130701612531712,""i keep forgetting to watch new world. isn't it because @netflix_ph doesn't remind me, right no?"""
837,"1463403636399038467,""they don't even have a post. it's crazy. netflix original series, right?"""
838,"1463505436989034496,""There was no promo, good thing the airens are more diligent!"""
839,"1463051674134913024,""i thought my day was going to be completely ruined because of my exams but luckily my scholarship has been credited. tell me to thank tdp!"""
840,"1463129057328267264,""it was directly reflected in the accounting at olfu, it was credited because we don't have an atm, right. try to check your landbank app if you have one, maybe yours has money in it too."""
841,"1463117094396989449,Another day of Kumu promoting more than Kanin."
842,"1463120061841903621,""It's also often becoming the main source of aid. Love you, Kumu!"""
843,"1463122765498576897,""Haha. Let me guess, Tiktok is also one of your top apps because of them?"""
844,"1463123819162267649,""Same. Who are we again? We're the ones who never saw ourselves downloading tiktok, right? Now, here we are. All because of db!"""
845,"1463132131387793415,""Right? I was super surprised there was a trivia love."""
846,"1463133469668560897,yesss! i love that line so much! the wab eternal pin is also super nice where did you buy plssss."
847,"1463142326919139329,""jareditoparty reevo is a different au right? it's sey's!"""
848,"1463135145951588358,these damn pimples won't leave me, what's the deal."
849,"1463135269138288644,""can't i just be pretty even if i'm stressed and depressed?"""
850,"1463145266731630593,hahaha this is me, beautiful even when stressed and depressed."
